,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,zipcode,total_sqft,yr_sold,age,basement,distance_from_city,distance_from_airport
32,2014-06-24,687500.0,4,1.75,2330,5000,1.5,0.0,0,4.0,7.0,98117,7330,2014,91,1.0,8.613353145128851,26.993892821677452
33,2014-11-10,535000.0,3,1.0,1090,3000,1.5,0.0,0,4.0,8.0,98117,4090,2014,91,0.0,9.470312701018145,27.814024374131673
34,2014-12-03,322500.0,4,2.75,2060,6659,1.0,0.0,0,3.0,7.0,98058,8719,2014,39,1.0,24.09836895261585,11.017038204842349
35,2014-06-13,696000.0,3,2.5,2300,3060,1.5,0.0,0,3.0,8.0,98115,5360,2014,90,1.0,8.51078732692091,26.583374052865757
37,2014-12-30,640000.0,4,2.0,2360,6000,2.0,0.0,0,4.0,8.0,98107,8360,2014,116,0.0,7.196679074442242,25.590228138066465
38,2015-02-13,240000.0,4,1.0,1220,8075,1.0,0.0,0,2.0,7.0,98001,9295,2015,51,1.0,30.699491695267454,12.25179961716182
39,2014-06-20,605000.0,4,2.5,2620,7553,2.0,0.0,0,3.0,8.0,98056,10173,2014,24,0.0,14.50201980957278,13.265584617473273
42,2014-07-07,861990.0,5,2.75,3595,5639,2.0,0.0,0,3.0,9.0,98053,9234,2014,6,0.0,25.372448160544895,34.31530032344611
43,2014-10-28,685000.0,3,1.0,1570,2280,2.0,0.0,0,3.0,7.0,98119,3850,2014,98,0.0,4.283243454444544,22.467510853914735
44,2014-07-29,309000.0,3,1.0,1280,9656,1.0,0.0,0,4.0,6.0,98058,10936,2014,61,1.0,21.415907216082527,9.53460629183196
46,2015-03-25,210490.0,3,1.0,990,8528,1.0,0.0,0,3.0,6.0,98023,9518,2015,54,0.0,33.602586388275355,16.08790966765997
47,2014-07-16,785000.0,4,2.5,2290,13416,2.0,0.0,0,4.0,9.0,98007,15706,2014,39,0.0,13.85427742024728,22.57566219235746
48,2015-04-28,450000.0,3,1.75,1250,5963,1.0,0.0,0,4.0,7.0,98115,7213,2015,67,0.0,8.35628333217462,26.231574082431386
50,2014-09-16,228000.0,3,1.0,1190,9199,1.0,0.0,0,3.0,7.0,98148,10389,2014,65,0.0,20.272539544477805,2.4953416656547214
51,2015-02-17,345000.0,5,2.5,3150,9134,1.0,0.0,0,4.0,8.0,98056,12284,2015,54,1.0,16.804767003291737,10.11501583742613
53,2015-02-05,585000.0,2,1.75,1980,8550,1.0,0.0,0,3.0,7.0,98117,10530,2015,39,1.0,10.412515896259002,28.82188343463306
54,2015-03-03,920000.0,5,2.25,2730,6000,1.5,0.0,0,3.0,8.0,98105,8730,2015,93,1.0,6.797682195301777,23.78174397006728
57,2015-04-07,301000.0,3,2.5,2420,4750,2.0,0.0,0,3.0,8.0,98042,7170,2015,17,0.0,31.268456063343862,16.00834016080923
59,2015-02-23,430000.0,4,3.0,1850,9976,2.0,0.0,0,3.0,8.0,98059,11826,2015,29,0.0,17.9911066889237,13.397407250910252
61,2014-08-28,289000.0,3,1.75,1260,8400,1.0,0.0,0,3.0,7.0,98148,9660,2014,66,0.0,19.048293198565148,2.622115358909192
63,2014-12-07,549000.0,3,1.75,1540,1044,3.0,0.0,0,3.0,8.0,98115,2584,2014,6,0.0,7.694878238043236,25.92355052221736
64,2014-06-03,425000.0,3,2.25,1660,6000,1.0,0.0,0,3.0,7.0,98122,7660,2014,41,1.0,2.8826348371539847,18.644959976341042
65,2014-11-20,317625.0,3,2.75,2770,3809,1.5,0.0,0,5.0,7.0,98144,6579,2014,95,1.0,4.377220005627063,14.575562392690745
67,2014-10-09,287000.0,4,2.5,2240,4648,2.0,0.0,0,3.0,7.0,98001,6888,2014,15,0.0,30.596094985060258,12.221897124630958
71,2015-01-05,325000.0,3,2.0,1260,5612,1.0,0.0,0,4.0,7.0,98034,6872,2015,48,0.0,18.424733391687997,33.795513654552785
72,2014-06-10,571000.0,4,2.0,2750,7807,1.5,0.0,0,5.0,7.0,98125,10557,2014,104,1.0,12.615019087351989,30.38525720602911
78,2014-06-09,410000.0,3,1.0,1410,5060,1.0,0.0,0,4.0,7.0,98133,6470,2014,64,1.0,11.039207814125984,29.4502925387277
80,2014-12-02,390000.0,3,2.5,2350,5100,2.0,0.0,0,3.0,8.0,98038,7450,2014,17,0.0,37.65896304742331,24.356799065677794
81,2014-12-22,360000.0,4,2.5,1900,5889,2.0,0.0,0,3.0,7.0,98038,7789,2014,28,0.0,36.74680681461847,22.910864090750326
82,2014-10-28,355000.0,2,1.0,2020,6720,1.0,0.0,0,3.0,7.0,98118,8740,2014,72,1.0,7.505391858278857,11.568502337747026
83,2015-01-28,356000.0,3,1.5,1680,8712,1.0,0.0,0,3.0,8.0,98059,10392,2015,56,0.0,19.847197906440567,12.204744334291004
84,2014-06-02,315000.0,3,1.0,960,6634,1.0,0.0,0,3.0,6.0,98125,7594,2014,68,0.0,13.28989833926228,31.43839966177451
85,2014-11-14,940000.0,3,1.5,2140,3600,2.0,0.0,0,3.0,9.0,98119,5740,2014,95,1.0,3.6250834357748456,21.658579666178326
86,2014-11-03,305000.0,5,2.25,2660,8400,1.5,0.0,0,5.0,7.0,98092,11060,2014,59,0.0,36.91138678243209,18.964021944249392
90,2014-05-22,243500.0,4,2.5,1980,7403,2.0,0.0,0,3.0,7.0,98023,9383,2014,32,0.0,35.4806981183643,17.89713780602028
91,2015-03-11,1100000.0,5,2.75,3520,6353,2.0,0.0,0,4.0,10.0,98199,9873,2015,19,0.0,6.315056232142668,23.964893942560117
92,2015-02-26,153000.0,3,1.0,1200,10500,1.0,0.0,0,3.0,7.0,98023,11700,2015,58,0.0,31.805476159290585,14.007745460906126
93,2014-07-25,430000.0,3,1.5,1580,5000,1.0,0.0,0,3.0,8.0,98117,6580,2014,81,1.0,9.566905312149219,27.783160856123104
94,2014-12-23,700000.0,3,1.5,1580,5000,1.0,0.0,0,3.0,8.0,98117,6580,2014,81,1.0,9.566905312149219,27.783160856123104
95,2014-09-08,905000.0,4,2.5,3300,10250,1.0,0.0,0,3.0,7.0,98040,13550,2014,74,1.0,6.854937094103756,16.456316481029287
96,2015-03-30,247500.0,3,1.75,1960,15681,1.0,0.0,0,3.0,7.0,98032,17641,2015,53,0.0,28.167954067219036,9.72919307108265
97,2014-09-12,199000.0,4,1.5,1160,6400,1.0,0.0,0,4.0,7.0,98023,7560,2014,45,0.0,33.980681961918535,16.578769974639012
100,2014-06-11,850830.0,3,2.5,2070,13241,1.5,0.0,0,5.0,9.0,98102,15311,2014,110,1.0,4.016104639994538,22.020413303465215
101,2014-10-27,555000.0,3,2.0,1980,3478,1.5,0.0,0,4.0,7.0,98117,5458,2014,91,1.0,8.199414778013242,26.527862993852725
103,2014-10-07,1090000.0,3,2.5,2920,8113,2.0,0.0,0,3.0,8.0,98004,11033,2014,70,0.0,10.840308334931754,17.250078724169235
106,2014-05-23,460000.0,3,1.0,1670,4005,1.5,0.0,0,4.0,7.0,98117,5675,2014,81,1.0,9.480349349454949,27.771096291536633
107,2014-07-23,188500.0,2,1.75,1240,2493,1.0,0.0,0,4.0,8.0,98198,3733,2014,35,0.0,25.21289727369404,7.084208167936269
109,2014-08-27,470000.0,5,1.75,2030,12342,2.0,0.0,0,4.0,7.0,98052,14372,2014,78,0.0,17.347785161536084,26.338916598820802
111,2015-03-04,570000.0,3,1.75,1260,3328,1.0,0.0,0,5.0,6.0,98103,4588,2015,115,1.0,8.319859932030766,26.76799248595823
112,2014-09-16,272500.0,3,1.75,1540,12600,1.0,0.0,0,4.0,7.0,98038,14140,2014,40,0.0,35.59062716761922,22.264994276063256
113,2014-11-24,329950.0,3,1.75,2080,5969,1.0,0.0,2,3.0,7.0,98108,8049,2014,49,1.0,7.378022868999349,11.55161219903242
116,2014-06-26,518500.0,3,3.5,1590,1102,3.0,0.0,0,3.0,8.0,98103,2692,2014,10,0.0,8.31359977816813,26.759539210858915
117,2014-06-23,205425.0,2,1.0,880,6780,1.0,0.0,0,4.0,6.0,98178,7660,2014,75,0.0,13.579984844710243,7.54100151706957
119,2015-05-11,535000.0,4,1.0,1610,2982,1.5,0.0,0,4.0,7.0,98144,4592,2015,95,0.0,3.8689768614607303,15.951702642584427
120,2015-01-02,660000.0,3,2.5,2400,6474,1.0,0.0,2,3.0,8.0,98177,8874,2015,56,1.0,18.702588233964683,37.130007495553215
122,2015-04-06,395000.0,2,1.0,770,6000,1.0,0.0,0,3.0,6.0,98117,6770,2015,67,0.0,10.436558294102126,28.868232638331722
124,2014-06-18,770000.0,3,2.25,2910,10204,2.0,0.0,0,3.0,9.0,98052,13114,2014,30,0.0,19.94071899134027,31.32755157728562
130,2015-01-05,212000.0,3,1.75,1060,7875,1.0,0.0,0,4.0,7.0,98092,8935,2015,34,0.0,39.36917819459678,21.75203797364398
131,2015-04-28,660500.0,4,2.25,2010,9603,1.0,0.0,0,3.0,8.0,98027,11613,2015,34,1.0,22.615570505638058,21.155458850251428
133,2014-05-12,453246.0,3,2.5,2010,2287,2.0,0.0,0,3.0,8.0,98029,4297,2014,6,1.0,26.037451797858974,25.772192119784325
134,2015-01-26,675000.0,4,3.5,2140,2278,3.0,0.0,0,3.0,9.0,98107,4418,2015,15,0.0,8.004056218980143,26.209467580653634
136,2014-08-05,220000.0,4,1.75,2020,7840,1.0,0.0,0,3.0,7.0,98003,9860,2014,52,1.0,30.91382578135186,12.519397998972442
138,2014-07-07,382500.0,2,1.0,1190,4440,1.0,0.0,0,3.0,6.0,98125,5630,2014,39,0.0,12.264079552920899,30.01878840514367
140,2014-06-27,665000.0,2,1.0,1110,3200,1.0,0.0,0,3.0,7.0,98119,4310,2014,95,0.0,3.3371361674003466,21.56035368123377
142,2015-05-08,205000.0,3,1.0,1610,8579,1.0,0.0,0,4.0,7.0,98058,10189,2015,58,1.0,20.879303665274747,9.920344532387576
144,2015-02-27,500000.0,4,2.25,2030,8517,1.0,0.0,0,4.0,8.0,98006,10547,2015,59,1.0,13.720092108861635,15.182087461152912
146,2014-06-25,890000.0,4,1.0,2550,4000,2.0,0.0,0,3.0,8.0,98109,6550,2014,115,1.0,3.3235966908599597,21.664901933409773
149,2014-11-04,511000.0,3,1.0,1430,3455,1.0,0.0,0,3.0,7.0,98103,4885,2014,73,1.0,8.810997561728234,27.209302983346735
150,2014-08-20,532170.0,3,2.0,1360,3090,2.0,0.0,0,3.0,8.0,98103,4450,2014,30,0.0,8.527005976904645,26.974380318419577
151,2015-04-09,560000.0,3,1.0,1110,5000,1.5,0.0,0,3.0,7.0,98107,6110,2015,73,0.0,5.5180448294153495,23.888198684309337
155,2014-07-28,215000.0,3,1.0,1180,7669,1.0,0.0,0,4.0,7.0,98058,8849,2014,53,0.0,21.42925572960541,9.455988310475714
157,2014-08-07,320000.0,4,2.75,2640,7500,1.0,0.0,0,3.0,8.0,98023,10140,2014,53,1.0,32.82635411245294,15.314042761918037
158,2014-11-13,247000.0,3,2.0,1270,7198,1.5,0.0,0,3.0,7.0,98022,8468,2014,104,0.0,51.19205918844093,34.80970749499332
159,2014-10-03,320000.0,4,1.75,1760,11180,1.0,0.0,0,4.0,8.0,98059,12940,2014,52,0.0,22.260747232478693,14.144675568757945
160,2014-05-07,255000.0,5,2.25,2060,8632,1.0,0.0,0,3.0,7.0,98146,10692,2014,58,1.0,13.36980164526567,5.508947293912545
161,2015-03-09,438000.0,3,1.75,1780,9660,1.0,0.0,0,3.0,7.0,98034,11440,2015,58,0.0,16.129535096521245,31.471003166338885
162,2015-03-04,900000.0,3,2.5,3400,16603,2.0,0.0,0,3.0,10.0,98075,20003,2015,20,0.0,23.40145029096263,27.280253344575403
163,2014-06-20,441000.0,3,2.75,1910,7280,1.0,0.0,0,3.0,7.0,98034,9190,2014,41,1.0,16.085136673084435,32.567707312558
165,2014-12-08,370000.0,3,1.75,1580,7000,1.0,0.0,0,3.0,7.0,98034,8580,2014,44,1.0,17.71677071839423,32.40845148842035
166,2015-02-19,269950.0,2,1.75,1340,7250,1.0,0.0,0,5.0,5.0,98198,8590,2015,71,1.0,22.234920085137873,4.385495729047736
167,2015-03-24,807100.0,4,2.5,2680,4499,2.0,0.0,0,3.0,9.0,98006,7179,2015,21,0.0,16.46149575938984,18.921618153162512
168,2014-06-05,653000.0,3,2.5,2680,9750,1.0,0.0,0,4.0,8.0,98034,12430,2014,41,1.0,13.105126575069788,29.292597506146556
174,2014-09-29,673000.0,4,2.25,2590,8190,2.0,0.0,0,4.0,8.0,98006,10780,2014,40,0.0,16.56524630666407,18.677737663980086
175,2015-02-10,425000.0,3,2.5,1120,1100,2.0,0.0,0,3.0,8.0,98122,2220,2015,12,1.0,1.9072667117152773,18.57444234882153
176,2014-07-09,399950.0,5,2.75,1970,5400,1.0,0.0,0,3.0,7.0,98144,7370,2014,34,1.0,3.114680648326907,15.926229280562822
178,2014-11-17,269950.0,3,1.5,1950,7560,1.0,0.0,2,4.0,7.0,98022,9510,2014,45,1.0,52.14695700095643,35.59202772145876
180,2014-07-25,260000.0,3,2.5,1670,5797,2.0,0.0,0,3.0,7.0,98030,7467,2014,32,0.0,30.926527371794386,13.857915506304176
181,2015-04-14,470000.0,4,3.0,2380,5125,1.5,0.0,0,4.0,7.0,98126,7505,2015,95,1.0,8.31944632499927,11.927510027758744
183,2014-07-23,163500.0,2,1.5,1050,3419,2.0,0.0,0,3.0,7.0,98038,4469,2014,24,0.0,33.31238462540287,20.802212483076126
184,2014-09-05,835000.0,4,2.75,3130,13412,2.0,0.0,0,3.0,9.0,98052,16542,2014,27,1.0,20.18758128789528,32.12172162025208
186,2015-04-15,269000.0,4,1.75,1490,10000,1.0,0.0,0,4.0,8.0,98023,11490,2015,51,1.0,33.29113689131217,15.95108756181766
189,2014-12-05,585188.0,3,2.25,2230,10026,1.0,0.0,0,3.0,8.0,98052,12256,2014,45,1.0,15.024932871106735,26.9864625276771
191,2014-11-05,166950.0,3,1.0,1190,8820,1.0,0.0,0,3.0,6.0,98058,10010,2014,61,0.0,19.83289776544245,9.066001679099045
192,2014-09-12,799000.0,3,2.5,2140,9897,1.0,0.0,0,4.0,8.0,98040,12037,2014,61,0.0,10.801715625583729,13.407978873605536
193,2014-06-25,400000.0,3,2.5,2180,7508,1.0,0.0,0,4.0,7.0,98133,9688,2014,58,1.0,16.956362204024963,35.32649714475869
194,2014-12-01,230000.0,3,1.0,1060,10228,1.0,0.0,0,3.0,7.0,98155,11288,2014,72,0.0,15.787982559875202,33.84382614976877
195,2014-05-15,256883.0,3,2.5,1690,5025,2.0,0.0,0,3.0,8.0,98023,6715,2014,17,0.0,36.69462286594437,18.721164837969464
196,2014-11-11,423000.0,4,2.0,1970,6480,1.5,0.0,0,5.0,7.0,98108,8450,2014,100,1.0,6.558559986168554,11.97714077554004
201,2014-11-12,297000.0,3,2.5,1940,14952,2.0,0.0,0,3.0,8.0,98042,16892,2014,26,0.0,28.60562368249907,12.615862190091558
202,2014-07-16,470000.0,3,1.0,1010,5000,1.0,0.0,0,3.0,7.0,98107,6010,2014,68,0.0,8.649622896284795,26.636203008967946
203,2014-08-04,226500.0,3,1.5,1300,7370,1.0,0.0,0,4.0,7.0,98023,8670,2014,44,1.0,34.05090450541792,16.49599750243575
204,2015-03-03,274250.0,3,1.0,910,8450,1.0,0.0,0,4.0,6.0,98059,9360,2015,58,0.0,19.57329447293825,11.478395175473896
206,2014-09-19,677900.0,3,2.5,2440,4587,2.0,0.0,0,3.0,8.0,98052,7027,2014,10,0.0,19.894075104488046,32.511109151233995
208,2014-11-23,180250.0,2,0.75,900,9600,1.0,0.0,0,3.0,6.0,98166,10500,2014,79,0.0,16.406031959622442,3.3735835330302915
211,2014-07-17,625504.0,3,2.25,1270,1566,2.0,0.0,0,3.0,8.0,98105,2836,2014,6,1.0,7.373007860101664,24.61142263028337
212,2014-05-15,592500.0,4,2.5,2240,12032,1.0,0.0,0,3.0,9.0,98074,14272,2014,37,0.0,23.84600272551287,28.57023007519608
214,2014-05-27,477000.0,4,2.75,1720,6270,2.0,0.0,0,3.0,8.0,98118,7990,2014,42,0.0,8.552685734954578,11.640629255890682
215,2015-01-15,280000.0,2,1.0,850,16400,1.0,0.0,0,3.0,6.0,98168,17250,2015,97,0.0,13.511565246780902,5.043925322379321
217,2014-07-03,445838.0,3,2.5,2250,5692,2.0,0.0,0,3.0,8.0,98146,7942,2014,20,0.0,11.026312723696487,9.686395219078584
219,2014-10-23,467000.0,2,1.5,1320,10800,1.0,0.0,0,4.0,8.0,98177,12120,2014,73,0.0,12.070842812491959,30.505585932500093
220,2014-08-22,686000.0,4,2.5,2760,6440,2.0,0.0,0,3.0,10.0,98075,9200,2014,21,0.0,23.326613261988292,25.889916271614243
221,2014-06-05,279950.0,3,2.0,1750,9750,1.0,0.0,0,3.0,7.0,98198,11500,2014,59,1.0,23.495121682309208,5.065251488438014
223,2014-09-18,325000.0,3,2.25,2220,16020,1.0,0.0,0,4.0,8.0,98030,18240,2014,54,1.0,27.2875005991116,9.8595096615685
224,2014-09-03,328000.0,3,2.25,2020,8379,2.0,0.0,0,3.0,7.0,98038,10399,2014,26,0.0,34.288155339863835,22.015347687879853
228,2015-01-15,235000.0,3,1.0,1430,15246,1.0,0.0,0,4.0,7.0,98031,16676,2015,59,1.0,24.066832922939064,7.7121613804579265
229,2015-03-03,516500.0,3,2.5,1480,4729,2.0,0.0,0,3.0,7.0,98053,6209,2015,16,0.0,23.902919044960353,33.01163989841963
230,2015-04-13,655000.0,2,1.75,1450,15798,2.0,1.0,4,3.0,7.0,98166,17248,2015,105,1.0,17.844630490427278,5.553937004807568
231,2014-06-16,500000.0,4,2.75,2280,15347,1.0,0.0,0,5.0,7.0,98059,17627,2014,60,0.0,16.01587182115619,13.509170965818765
233,2014-11-20,213000.0,2,1.0,1000,10200,1.0,0.0,0,3.0,6.0,98024,11200,2014,59,0.0,32.98068136972187,33.27220843282172
237,2015-03-20,410000.0,4,1.0,1970,4740,1.5,0.0,0,3.0,7.0,98122,6710,2015,116,1.0,2.4885294231660664,18.897537927925217
240,2014-12-08,225000.0,3,1.75,1430,8505,1.0,0.0,0,4.0,7.0,98003,9935,2014,52,0.0,32.328339709373,14.089651430451775
241,2014-10-01,210000.0,2,1.0,830,6000,1.0,0.0,0,3.0,6.0,98126,6830,2014,80,0.0,9.110119926832029,11.188343322318238
242,2015-01-27,455000.0,2,1.0,1430,5000,1.5,0.0,0,2.0,7.0,98115,6430,2015,95,0.0,7.6815029301051405,25.465544956887147
243,2015-04-27,225000.0,3,1.0,1300,8316,1.0,0.0,0,4.0,6.0,98002,9616,2015,66,0.0,33.00927614669918,14.95574666663808
244,2014-08-26,480000.0,2,1.0,1030,3060,1.0,0.0,2,4.0,7.0,98103,4090,2014,102,1.0,7.880135511231612,26.325651778469386
245,2015-02-12,363000.0,3,2.5,2740,11872,2.0,0.0,0,3.0,9.0,98023,14612,2015,30,0.0,33.68476335200476,16.660154536282135
247,2015-02-26,181000.0,2,1.5,720,5120,1.0,0.0,0,3.0,6.0,98106,5840,2015,66,0.0,9.719293980333001,9.638116618456202
249,2015-04-22,481000.0,3,1.75,1560,3000,1.0,0.0,0,4.0,6.0,98103,4560,2015,102,1.0,8.542517235664272,26.983570044176005
250,2014-09-23,260000.0,3,2.0,1810,7209,1.0,0.0,0,4.0,7.0,98032,9019,2014,42,1.0,27.278085027835413,8.842647167062797
251,2014-05-13,455000.0,4,2.5,3360,7685,2.0,0.0,0,3.0,9.0,98058,11045,2014,19,0.0,25.3880254305819,14.349036180736743
253,2015-04-21,349500.0,3,1.0,1400,3538,1.0,0.0,0,3.0,7.0,98118,4938,2015,67,1.0,8.952869017989144,11.033154141002424
254,2014-09-29,245000.0,3,2.5,1730,7442,2.0,0.0,0,3.0,7.0,98030,9172,2014,33,0.0,30.934535456945742,13.891585345482603
255,2014-05-19,592500.0,2,2.0,1420,9191,1.5,0.0,2,5.0,7.0,98115,10611,2014,92,0.0,10.053018886773962,28.298546225811883
256,2014-10-20,385000.0,4,1.75,2360,7620,1.0,0.0,0,4.0,7.0,98106,9980,2014,65,1.0,8.944116317320303,9.912314242472045
257,2015-02-11,315000.0,3,1.75,1580,11455,1.0,0.0,0,4.0,7.0,98059,13035,2015,46,1.0,20.3901359353821,12.153660898741514
261,2014-10-24,237000.0,3,1.75,1270,8470,1.0,0.0,0,4.0,7.0,98198,9740,2014,60,0.0,21.089419507387422,2.6857876762640114
263,2015-04-28,425000.0,2,1.0,770,5040,1.0,0.0,0,3.0,5.0,98144,5810,2015,90,0.0,3.001533270997492,16.98709018802087
265,2014-05-19,290000.0,4,2.5,1700,7280,2.0,0.0,0,4.0,7.0,98031,8980,2014,32,0.0,25.75502551014673,10.739008680998037
266,2014-09-29,285000.0,3,1.0,1120,10701,1.0,0.0,0,3.0,7.0,98106,11821,2014,66,0.0,6.198721269639909,13.024644759310524
267,2014-08-14,415000.0,2,1.0,1070,4500,1.0,0.0,0,3.0,7.0,98115,5570,2014,83,0.0,8.705416558848306,26.312730748893745
268,2015-04-09,272500.0,3,2.5,2070,9900,1.0,0.0,0,3.0,8.0,98023,11970,2015,41,1.0,34.466661091819674,16.91028065607148
272,2014-10-17,210000.0,3,1.0,1700,11390,1.0,0.0,0,4.0,7.0,98003,13090,2014,53,0.0,31.229866764856098,13.039314434838762
274,2014-11-24,331000.0,3,1.75,1080,1306,1.0,0.0,0,3.0,7.0,98199,2386,2014,66,1.0,7.554666571876934,25.169515294759655
275,2015-03-20,365000.0,3,2.5,2653,4510,2.0,0.0,0,3.0,8.0,98031,7163,2015,14,0.0,24.973071067368043,10.696958666822365
279,2015-05-05,405000.0,3,1.75,2390,6000,1.0,0.0,0,3.0,6.0,98118,8390,2015,112,1.0,9.436188034943624,10.601857783749574
281,2015-02-27,170000.0,2,1.0,860,5265,1.0,0.0,0,3.0,6.0,98178,6125,2015,89,0.0,12.409329208301418,7.162133786622631
284,2015-04-10,330000.0,3,3.0,2420,13959,1.0,0.0,0,4.0,8.0,98028,16379,2015,32,1.0,17.49240835219831,34.321846146754005
285,2014-09-05,370000.0,4,2.5,2720,8666,2.0,0.0,0,3.0,9.0,98030,11386,2014,28,0.0,27.785178742426268,11.934043084165939
286,2014-10-17,467000.0,5,2.25,2500,13500,1.0,0.0,0,3.0,7.0,98072,16000,2014,41,1.0,21.827748800836112,36.718281120552284
288,2014-07-02,675000.0,5,2.25,2900,10300,1.0,0.0,0,3.0,8.0,98006,13200,2014,35,1.0,15.425374361955095,16.05720626065585
289,2014-08-12,500000.0,2,1.0,1640,14100,1.0,0.0,0,4.0,7.0,98006,15740,2014,66,1.0,14.972016479319086,18.522145923500513
291,2015-02-24,630000.0,4,1.75,2950,9025,1.0,0.0,2,4.0,8.0,98034,11975,2015,45,1.0,14.35522815499545,30.496358760018943
292,2014-10-22,360000.0,4,2.5,2160,9528,2.0,0.0,0,3.0,9.0,98001,11688,2014,28,0.0,31.028561462859564,12.65865472848882
293,2014-10-02,580000.0,4,3.0,3280,11060,2.0,0.0,0,3.0,8.0,98056,14340,2014,34,1.0,13.815676101495642,14.02601645150122
294,2014-07-09,550000.0,3,2.0,1970,4166,2.0,0.0,3,5.0,8.0,98126,6136,2014,91,1.0,5.019541957722035,15.268194276093695
298,2014-06-02,404000.0,3,1.5,2030,8880,1.0,0.0,0,3.0,7.0,98108,10910,2014,57,1.0,5.782104808951019,12.804605967816773
299,2014-05-29,267500.0,3,1.75,1590,11914,1.0,0.0,2,3.0,7.0,98188,13504,2014,63,1.0,18.935142724377865,2.0808737609139976
301,2014-08-11,335000.0,3,2.5,2440,7632,2.0,0.0,0,3.0,8.0,98003,10072,2014,22,0.0,28.852738904515782,10.46210237549032
303,2015-04-01,208633.0,3,2.5,2040,3810,2.0,0.0,0,3.0,8.0,98038,5850,2015,14,0.0,37.84541654347397,24.79016819142756
304,2015-01-15,315000.0,3,2.25,2200,8750,1.0,0.0,0,4.0,7.0,98166,10950,2015,56,1.0,14.67060399876609,4.478494605877225
305,2015-02-17,725000.0,3,1.75,1920,3300,1.0,0.0,0,4.0,8.0,98112,5220,2015,107,1.0,3.29670453456081,20.043738758220766
306,2015-04-03,550000.0,4,2.75,1800,7750,1.0,0.0,0,4.0,8.0,98177,9550,2015,55,1.0,19.19609306752553,37.63083625159931
