,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,view,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Age_of_House,Years_last_renovation,basement,distance_from_seattle,distance_from_bellevue,distance_from_a_city,distance_from_airport
29,1873100390,2015-03-02,719000.0,4,2.5,2570,7173,0.0,0.0,2570,0.0,2005,2005,98052,47.7073,-122.11,2630,6026,15,15,False,20.143892390126613,12.730463727960649,12.730463727960649,32.641986989506314
30,8562750320,2014-11-10,580500.0,3,2.5,2320,3980,0.0,0.0,2320,0.0,2003,2003,98027,47.5391,-122.07,2580,3980,17,17,False,21.30349646744951,12.598041232934596,12.598041232934596,20.3795460070423
31,2426039314,2014-12-01,280000.0,2,1.5,1190,1265,0.0,0.0,1190,0.0,2005,2005,98133,47.7274,-122.35700000000001,1390,1756,15,15,False,13.36712394862906,17.491552764255804,13.36712394862906,31.81486571013971
32,461000390,2014-06-24,687500.0,4,1.75,2330,5000,0.0,0.0,1510,820.0,1929,1929,98117,47.6823,-122.368,1460,5000,91,91,True,8.613353145128851,14.859276351196609,8.613353145128851,26.993892821677452
33,7589200193,2014-11-10,535000.0,3,1.0,1090,3000,0.0,0.0,1090,0.0,1929,1929,98117,47.6889,-122.375,1570,5080,91,91,False,9.470312701018145,15.698478282681693,9.470312701018145,27.814024374131673
34,7955080270,2014-12-03,322500.0,4,2.75,2060,6659,0.0,0.0,1280,780.0,1981,1981,98058,47.4276,-122.15700000000001,2020,8720,39,39,True,24.09836895261585,20.574007260424423,20.574007260424423,11.017038204842349
35,9547205180,2014-06-13,696000.0,3,2.5,2300,3060,0.0,0.0,1510,790.0,1930,2002,98115,47.6827,-122.31,1590,3264,90,18,True,8.51078732692091,11.470706674293508,8.51078732692091,26.583374052865757
36,9435300030,2014-05-28,550000.0,4,1.0,1660,34848,0.0,0.0,930,730.0,1933,1933,98052,47.6621,-122.132,2160,11467,87,87,True,16.35772943086054,7.712323782175705,7.712323782175705,27.41821021442382
37,2768000400,2014-12-30,640000.0,4,2.0,2360,6000,0.0,0.0,2360,0.0,1904,1904,98107,47.6702,-122.36200000000001,1730,4700,116,116,False,7.196679074442242,13.787478243893464,7.196679074442242,25.590228138066465
38,7895500070,2015-02-13,240000.0,4,1.0,1220,8075,0.0,0.0,890,330.0,1969,1969,98001,47.3341,-122.28200000000001,1290,7800,51,51,True,30.699491695267454,31.30323416103491,30.699491695267454,12.25179961716182
39,2078500320,2014-06-20,605000.0,4,2.5,2620,7553,0.0,0.0,2620,0.0,1996,1996,98056,47.5301,-122.18,2620,11884,24,24,False,14.50201980957278,9.054585941716402,9.054585941716402,13.265584617473273
41,7766200013,2014-08-11,775000.0,4,2.25,4220,24186,0.0,0.0,2600,1620.0,1984,1984,98166,47.445,-122.34700000000001,2410,30617,36,36,True,18.13658594212392,21.40763083269998,18.13658594212392,3.4114172687379036
42,7203220400,2014-07-07,861990.0,5,2.75,3595,5639,0.0,0.0,3595,0.0,2014,2014,98053,47.6848,-122.016,3625,5639,6,6,False,25.372448160544895,16.1102666594405,16.1102666594405,34.31530032344611
43,9270200160,2014-10-28,685000.0,3,1.0,1570,2280,0.0,0.0,1570,0.0,1922,1922,98119,47.6413,-122.36399999999999,1580,2640,98,98,False,4.283243454444544,12.705614793645948,4.283243454444544,22.467510853914735
44,1432701230,2014-07-29,309000.0,3,1.0,1280,9656,0.0,0.0,920,360.0,1959,1959,98058,47.4485,-122.175,1340,8808,61,61,True,21.415907216082527,18.09158075501483,18.09158075501483,9.53460629183196
45,8035350320,2014-07-18,488000.0,3,2.5,3160,13603,0.0,0.0,3160,0.0,2003,2003,98019,47.7443,-121.977,3050,9232,17,17,False,30.782376457621044,22.395515719959228,22.395515719959228,41.339253963008886
46,8945200830,2015-03-25,210490.0,3,1.0,990,8528,0.0,0.0,990,0.0,1966,1966,98023,47.3066,-122.37100000000001,1228,8840,54,54,False,33.602586388275355,36.10160481132885,33.602586388275355,16.08790966765997
47,4178300310,2014-07-16,785000.0,4,2.5,2290,13416,0.0,0.0,2290,0.0,1981,1981,98007,47.6194,-122.15100000000001,2680,13685,39,39,False,13.85427742024728,3.8539481942999654,3.8539481942999654,22.57566219235746
48,9215400105,2015-04-28,450000.0,3,1.75,1250,5963,0.0,0.0,1250,0.0,1953,1953,98115,47.6796,-122.301,970,5100,67,67,False,8.35628333217462,10.751123853152425,8.35628333217462,26.231574082431386
49,822039084,2015-03-11,1350000.0,3,2.5,2753,65005,1.0,2.0,2165,588.0,1953,1953,98070,47.4041,-122.45100000000001,2680,72513,67,67,True,24.270857701132552,29.639993001073993,24.270857701132552,12.05335453260815
50,5245600105,2014-09-16,228000.0,3,1.0,1190,9199,0.0,0.0,1190,0.0,1955,1955,98148,47.4258,-122.322,1190,9364,65,65,False,20.272539544477805,22.44141120432784,20.272539544477805,2.4953416656547214
51,7231300125,2015-02-17,345000.0,5,2.5,3150,9134,0.0,0.0,1640,1510.0,1966,1966,98056,47.4934,-122.189,1990,9133,54,54,True,16.804767003291737,13.028656802886374,13.028656802886374,10.11501583742613
52,7518505990,2014-12-31,600000.0,3,1.75,1410,4080,0.0,0.0,1000,410.0,1950,1950,98117,47.6808,-122.384,1410,4080,70,70,True,8.87636710607042,15.799115813289715,8.87636710607042,27.07822192432311
53,3626039271,2015-02-05,585000.0,2,1.75,1980,8550,0.0,0.0,990,990.0,1981,1981,98117,47.6989,-122.369,1480,6738,39,39,True,10.412515896259002,15.984937736185206,10.412515896259002,28.82188343463306
54,4217401195,2015-03-03,920000.0,5,2.25,2730,6000,0.0,0.0,2130,600.0,1927,1927,98105,47.6571,-122.281,2730,6000,93,93,True,6.797682195301777,7.945838132793775,6.797682195301777,23.78174397006728
56,9478500640,2014-08-19,292500.0,4,2.5,2250,4495,0.0,0.0,2250,0.0,2008,2008,98042,47.3663,-122.11399999999999,2250,4500,12,12,False,31.58021418353048,27.893188207379826,27.893188207379826,16.51936212656372
57,2799800710,2015-04-07,301000.0,3,2.5,2420,4750,0.0,0.0,2420,0.0,2003,2003,98042,47.3663,-122.12200000000001,2690,4750,17,17,False,31.268456063343862,27.759159795958062,27.759159795958062,16.00834016080923
58,7922800400,2014-08-27,951000.0,5,3.25,3250,14342,0.0,4.0,3250,0.0,1968,1968,98008,47.588,-122.116,2960,11044,52,52,False,16.573119621881844,6.814940903868,6.814940903868,21.25657997572046
59,8079040320,2015-02-23,430000.0,4,3.0,1850,9976,0.0,0.0,1850,0.0,1991,1991,98059,47.5059,-122.149,2270,8542,29,29,False,17.991106688923704,12.23980725081145,12.23980725081145,13.397407250910252
61,9558200045,2014-08-28,289000.0,3,1.75,1260,8400,0.0,0.0,1260,0.0,1954,1954,98148,47.4366,-122.335,1290,8750,66,66,False,19.048293198565148,21.783523993605925,19.048293198565148,2.622115358909192
63,9528102996,2014-12-07,549000.0,3,1.75,1540,1044,0.0,0.0,1540,0.0,2014,2014,98115,47.6765,-122.32,1580,3090,6,6,False,7.694878238043236,11.567291664747547,7.694878238043236,25.92355052221736
64,1189001180,2014-06-03,425000.0,3,2.25,1660,6000,0.0,0.0,1110,550.0,1979,1979,98122,47.6113,-122.29700000000001,1440,4080,41,41,True,2.8826348371539847,7.216974552344548,2.8826348371539847,18.644959976341042
65,3253500160,2014-11-20,317625.0,3,2.75,2770,3809,0.0,0.0,1770,1000.0,1925,1925,98144,47.5747,-122.304,1440,4000,95,95,True,4.377220005627064,8.699355788503224,4.377220005627064,14.575562392690745
67,3717000160,2014-10-09,287000.0,4,2.5,2240,4648,0.0,0.0,2240,0.0,2005,2005,98001,47.3378,-122.257,2221,4557,15,15,False,30.596094985060258,30.584274605195834,30.584274605195834,12.221897124630958
68,1274500060,2014-08-25,204000.0,3,1.0,1000,12070,0.0,0.0,1000,0.0,1968,1968,98042,47.3621,-122.11,1010,12635,52,52,False,32.135507881382374,28.417772723135695,28.417772723135695,17.02113771636769
69,1802000060,2014-06-12,1330000.0,5,2.25,3200,20158,0.0,0.0,1600,1600.0,1965,1965,98004,47.6303,-122.215,3390,20158,55,55,True,9.335556268785288,2.460120720710523,2.460120720710523,21.74757147374884
70,1525059190,2014-09-12,1040000.0,5,3.25,4770,50094,0.0,0.0,3070,1700.0,1973,1973,98005,47.6525,-122.16,3530,38917,47,47,True,14.018610718252633,5.584686123151419,5.584686123151419,25.535602752042486
71,1049000060,2015-01-05,325000.0,3,2.0,1260,5612,0.0,0.0,1260,0.0,1972,1972,98034,47.7362,-122.179,1640,4745,48,48,False,18.424733391687997,14.075744650541553,14.075744650541553,33.795513654552785
72,8820901275,2014-06-10,571000.0,4,2.0,2750,7807,0.0,0.0,2250,500.0,1916,1916,98125,47.7168,-122.287,1510,7807,104,104,True,12.615019087351989,13.47578328403167,12.615019087351989,30.38525720602911
73,5416510140,2014-07-10,360000.0,4,2.5,2380,5000,0.0,0.0,2380,0.0,2005,2005,98038,47.3608,-122.036,2420,5000,15,15,False,35.48849387270337,30.366494012306273,30.366494012306273,21.995688213932166
74,3444100400,2015-03-16,349000.0,3,1.75,1790,50529,0.0,0.0,1090,700.0,1965,1965,98042,47.3511,-122.073,1940,50529,55,55,True,34.68083666823011,30.365980146510342,30.365980146510342,20.03446810189937
75,3276920270,2014-11-05,832500.0,4,4.0,3430,35102,0.0,0.0,2390,1040.0,1986,1986,98075,47.5822,-121.98700000000001,3240,35020,34,34,True,26.24844862759165,16.315581516465933,16.315581516465933,28.198880413014557
76,4036801170,2014-10-13,380000.0,4,1.75,1760,7300,0.0,0.0,880,880.0,1956,1956,98008,47.6034,-122.125,1680,7500,64,64,True,15.754838027307018,5.722582021914006,5.722582021914006,22.165135008523563
77,2391600320,2015-04-20,480000.0,3,1.0,1040,5060,0.0,0.0,1040,0.0,1941,1941,98116,47.5636,-122.39399999999999,890,5060,79,79,False,6.618407593206292,15.393955571730771,6.618407593206292,15.034482053017843
78,6300000287,2014-06-09,410000.0,3,1.0,1410,5060,0.0,0.0,910,500.0,1956,1956,98133,47.7073,-122.34,1130,5693,64,64,True,11.039207814125984,14.991580084175313,11.039207814125984,29.4502925387277
79,1531000030,2015-03-23,720000.0,4,2.5,3450,39683,0.0,0.0,3450,0.0,2002,2002,98010,47.342,-122.025,3350,39750,18,18,False,37.63742831929812,32.612055425217285,32.612055425217285,23.674832798839837
80,5104520400,2014-12-02,390000.0,3,2.5,2350,5100,0.0,0.0,2350,0.0,2003,2003,98038,47.3512,-122.008,2350,5363,17,17,False,37.65896304742332,32.23197837804838,32.23197837804838,24.356799065677794
81,7437100340,2014-12-22,360000.0,4,2.5,1900,5889,0.0,0.0,1900,0.0,1992,1992,98038,47.349,-122.031,1870,6405,28,28,False,36.74680681461847,31.718168589447792,31.718168589447792,22.910864090750326
82,9418400240,2014-10-28,355000.0,2,1.0,2020,6720,0.0,0.0,1010,1010.0,1948,1948,98118,47.5474,-122.291,1720,6720,72,72,True,7.505391858278857,9.73770736516252,7.505391858278857,11.568502337747026
83,1523059105,2015-01-28,356000.0,3,1.5,1680,8712,0.0,0.0,1680,0.0,1964,1964,98059,47.4811,-122.149,1850,8797,56,56,False,19.847197906440567,14.879776809397177,14.879776809397177,12.204744334291004
84,1133000671,2014-06-02,315000.0,3,1.0,960,6634,0.0,0.0,960,0.0,1952,1952,98125,47.7264,-122.31,1570,7203,68,68,False,13.28989833926228,15.269556905740874,13.28989833926228,31.43839966177451
85,4232902595,2014-11-14,940000.0,3,1.5,2140,3600,0.0,0.0,1900,240.0,1925,1925,98119,47.6337,-122.365,2020,4800,95,95,True,3.6250834357748456,12.577825365326136,3.6250834357748456,21.658579666178326
86,2599001200,2014-11-03,305000.0,5,2.25,2660,8400,0.0,0.0,2660,0.0,1961,1961,98092,47.2909,-122.189,1590,8165,59,59,False,36.91138678243209,35.51286928554263,35.51286928554263,18.964021944249392
88,1332700270,2014-05-19,215000.0,2,2.25,1610,2040,0.0,0.0,1610,0.0,1979,1979,98056,47.518,-122.194,1950,2025,41,41,False,14.56380827981996,10.277713813105569,10.277713813105569,11.568445191507523
89,3869900162,2014-09-04,335000.0,2,1.75,1030,1066,0.0,0.0,765,265.0,2006,2006,98136,47.5394,-122.387,1030,1106,14,14,True,8.557753174174405,16.04136348641129,8.557753174174405,12.430737011097131
90,2791500270,2014-05-22,243500.0,4,2.5,1980,7403,0.0,0.0,1980,0.0,1988,1988,98023,47.2897,-122.37200000000001,1980,7510,32,32,False,35.4806981183643,37.88968383863028,35.4806981183643,17.89713780602028
91,5036300431,2015-03-11,1100000.0,5,2.75,3520,6353,0.0,0.0,3520,0.0,2001,2001,98199,47.6506,-122.391,2520,6250,19,19,False,6.315056232142668,14.937428042322816,6.315056232142668,23.964893942560117
92,4168000060,2015-02-26,153000.0,3,1.0,1200,10500,0.0,0.0,1200,0.0,1962,1962,98023,47.321999999999996,-122.351,1350,10500,58,58,False,31.805476159290585,33.97757571797748,31.805476159290585,14.007745460906126
93,6021501535,2014-07-25,430000.0,3,1.5,1580,5000,0.0,0.0,1290,290.0,1939,1939,98117,47.687,-122.38600000000001,1570,4500,81,81,True,9.566905312149219,16.278199910392146,9.566905312149219,27.783160856123104
94,6021501535,2014-12-23,700000.0,3,1.5,1580,5000,0.0,0.0,1290,290.0,1939,1939,98117,47.687,-122.38600000000001,1570,4500,81,81,True,9.566905312149219,16.278199910392146,9.566905312149219,27.783160856123104
95,1483300570,2014-09-08,905000.0,4,2.5,3300,10250,0.0,0.0,2390,910.0,1946,1991,98040,47.5873,-122.249,1950,6045,74,29,True,6.854937094103756,4.437250394626257,4.437250394626257,16.456316481029287
96,3422049190,2015-03-30,247500.0,3,1.75,1960,15681,0.0,0.0,1960,0.0,1967,1967,98032,47.3576,-122.277,1750,15616,53,53,False,28.167954067219036,28.66880167676153,28.167954067219036,9.72919307108265
97,1099611230,2014-09-12,199000.0,4,1.5,1160,6400,0.0,0.0,1160,0.0,1975,1975,98023,47.3036,-122.37799999999999,1160,6400,45,45,False,33.980681961918535,36.60180901228715,33.980681961918535,16.578769974639012
98,722079104,2014-07-11,314000.0,3,1.75,1810,41800,0.0,0.0,1210,600.0,1980,1980,98038,47.4109,-121.958,1650,135036,40,40,True,35.79505857004956,28.690920670205767,28.690920670205767,26.089390442646636
99,7338200240,2014-05-16,437500.0,3,2.5,2320,36847,0.0,2.0,2320,0.0,1992,1992,98045,47.4838,-121.714,2550,35065,28,28,False,48.59477608779053,39.12057344340826,39.12057344340826,44.374968619710444
100,1952200240,2014-06-11,850830.0,3,2.5,2070,13241,0.0,0.0,1270,800.0,1910,1910,98102,47.6415,-122.315,2200,4500,110,110,True,4.016104639994538,9.234350032132843,4.016104639994538,22.020413303465215
101,5200100125,2014-10-27,555000.0,3,2.0,1980,3478,0.0,0.0,1440,540.0,1929,1929,98117,47.6775,-122.37200000000001,1610,3478,91,91,True,8.199414778013242,14.837916823293153,8.199414778013242,26.527862993852725
102,7214720075,2014-12-12,699950.0,3,2.25,2190,107593,0.0,0.0,2190,0.0,1983,1983,98077,47.7731,-122.08,2570,47777,37,37,False,26.473835170432285,20.210304224689935,20.210304224689935,40.21106056816896
103,2450000295,2014-10-07,1090000.0,3,2.5,2920,8113,0.0,0.0,2920,0.0,1950,2010,98004,47.5814,-122.196,2370,8113,70,10,False,10.840308334931755,3.2391925904898518,3.2391925904898518,17.250078724169235
104,6197800045,2014-09-24,290000.0,3,1.0,1210,33919,0.0,0.0,1210,0.0,1954,1954,98058,47.4375,-122.184,1640,14910,66,66,False,22.084425975678723,19.251800571882345,19.251800571882345,8.868740621300898
106,546000875,2014-05-23,460000.0,3,1.0,1670,4005,0.0,0.0,1170,500.0,1939,1939,98117,47.6878,-122.38,1240,4005,81,81,True,9.480349349454949,15.944816625081684,9.480349349454949,27.771096291536633
107,3530510041,2014-07-23,188500.0,2,1.75,1240,2493,0.0,0.0,1240,0.0,1985,1985,98198,47.3813,-122.322,1270,4966,35,35,False,25.21289727369404,27.0370082502308,25.21289727369404,7.084208167936269
108,1853000400,2015-03-05,680000.0,4,2.5,3140,28037,0.0,0.0,3140,0.0,1991,1991,98077,47.7304,-122.08200000000001,2990,35001,29,29,False,23.32137160203102,16.02353287563207,16.02353287563207,35.87714191440384
109,3134100116,2014-08-27,470000.0,5,1.75,2030,12342,0.0,0.0,2030,0.0,1942,1942,98052,47.6417,-122.109,2500,9433,78,78,False,17.347785161536084,7.697888831454308,7.697888831454308,26.338916598820802
110,9545230140,2014-07-25,597750.0,4,2.5,2310,9624,0.0,0.0,2310,0.0,1984,1984,98027,47.5386,-122.053,1940,9636,36,36,False,22.51652365199774,13.645139792106473,13.645139792106473,21.452034452376594
111,3362400511,2015-03-04,570000.0,3,1.75,1260,3328,0.0,0.0,700,560.0,1905,1905,98103,47.6823,-122.34899999999999,1380,3536,115,115,True,8.319859932030766,13.681524467836914,8.319859932030766,26.76799248595823
112,2525310310,2014-09-16,272500.0,3,1.75,1540,12600,0.0,0.0,1160,0.0,1980,1980,98038,47.3624,-122.031,1540,11656,40,40,False,35.59062716761922,30.35977368222949,30.35977368222949,22.264994276063256
113,6126500060,2014-11-24,329950.0,3,1.75,2080,5969,0.0,2.0,1080,1000.0,1971,1971,98108,47.5474,-122.295,2090,5500,49,49,True,7.378022868999349,9.948534095783376,7.378022868999349,11.55161219903242
114,8961960160,2014-10-28,480000.0,4,2.5,3230,16171,0.0,0.0,2520,710.0,2001,2001,98001,47.3183,-122.25299999999999,2640,8517,19,19,True,32.78085613017177,32.69436743628372,32.69436743628372,14.391509357623656
115,3626039325,2014-11-21,740500.0,3,3.5,4380,6350,0.0,0.0,2780,0.0,1900,1900,98117,47.6981,-122.368,1830,6350,120,120,False,10.30820940987615,15.871322092072353,10.30820940987615,28.721290520396526
116,3362400431,2014-06-26,518500.0,3,3.5,1590,1102,0.0,0.0,1590,0.0,2010,2010,98103,47.6824,-122.34700000000001,1620,3166,10,10,False,8.31359977816813,13.566824403583674,8.31359977816813,26.759539210858915
117,4060000240,2014-06-23,205425.0,2,1.0,880,6780,0.0,0.0,880,0.0,1945,1945,98178,47.5009,-122.24799999999999,1190,6780,75,75,False,13.579984844710243,12.672867882586706,12.672867882586706,7.54100151706957
119,1695900060,2015-05-11,535000.0,4,1.0,1610,2982,0.0,0.0,1610,0.0,1925,1925,98144,47.586999999999996,-122.294,1610,4040,95,95,False,3.8689768614607303,7.460077096779717,3.8689768614607303,15.951702642584427
120,7278700070,2015-01-02,660000.0,3,2.5,2400,6474,0.0,2.0,1560,840.0,1964,1964,98177,47.7728,-122.38600000000001,2340,10856,56,56,True,18.702588233964683,22.75821927854836,18.702588233964683,37.130007495553215
121,6675500070,2014-11-19,391500.0,3,2.0,1450,9132,0.0,0.0,1450,0.0,1987,1987,98034,47.7288,-122.226,1580,9104,33,33,False,15.713100458667125,13.295405793127284,13.295405793127284,32.20212026493096
122,3626039187,2015-04-06,395000.0,2,1.0,770,6000,0.0,0.0,770,0.0,1953,1953,98117,47.6999,-122.36399999999999,1710,6000,67,67,False,10.436558294102126,15.761433387352945,10.436558294102126,28.868232638331722
124,3275860240,2014-06-18,770000.0,3,2.25,2910,10204,0.0,0.0,2910,0.0,1990,1990,98052,47.6897,-122.098,2700,13992,30,30,False,19.940718991340272,11.695223583062297,11.695223583062297,31.32755157728562
125,4389200955,2015-03-02,1450000.0,4,2.75,2750,17789,0.0,0.0,1980,770.0,1914,1992,98004,47.6141,-122.212,3060,11275,106,28,True,9.251949294260427,0.9437882145770377,0.9437882145770377,20.111399233765816
127,8732020310,2014-07-17,260000.0,4,2.25,2160,8811,0.0,0.0,1360,800.0,1978,1978,98023,47.3129,-122.39,2090,8400,42,42,True,33.05221084250849,35.987502883917806,33.05221084250849,15.967590500507008
128,2331300505,2014-06-13,822500.0,5,3.5,2320,4960,0.0,0.0,1720,600.0,1926,1926,98103,47.6763,-122.352,1700,4960,94,94,True,7.692347542213768,13.491629464883992,7.692347542213768,26.138849449794055
129,7853210060,2015-04-06,430000.0,4,2.5,2070,4310,0.0,0.0,2070,0.0,2004,2004,98065,47.5319,-121.85,1970,3748,16,16,False,37.34569953724972,27.69992051210298,27.69992051210298,35.30874349845494
130,3668000070,2015-01-05,212000.0,3,1.75,1060,7875,0.0,0.0,1060,0.0,1986,1986,98092,47.2761,-122.152,1420,7680,34,34,False,39.36917819459678,37.32638319831044,37.32638319831044,21.75203797364398
131,9545240070,2015-04-28,660500.0,4,2.25,2010,9603,0.0,0.0,1440,570.0,1986,1986,98027,47.5343,-122.054,2060,9793,34,34,True,22.615570505638058,13.87070828615717,13.87070828615717,21.155458850251428
132,1243100136,2014-06-12,784000.0,3,3.5,3950,111078,0.0,0.0,2460,1490.0,1989,1989,98052,47.696999999999996,-122.072,2480,88500,31,31,True,22.042415193167717,13.61740396438407,13.61740396438407,33.01135784638758
133,8929000270,2014-05-12,453246.0,3,2.5,2010,2287,0.0,0.0,1390,620.0,2014,2014,98029,47.5517,-121.99799999999999,1690,1662,6,6,True,26.037451797858974,16.532610779312957,16.532610779312957,25.772192119784325
134,2767602356,2015-01-26,675000.0,4,3.5,2140,2278,0.0,0.0,2140,0.0,2005,2005,98107,47.6734,-122.38,1540,2285,15,15,False,8.004056218980143,15.143077391860086,8.004056218980143,26.209467580653634
135,921049315,2014-08-13,199000.0,3,1.75,1320,17390,0.0,0.0,1320,0.0,1956,1956,98003,47.3257,-122.296,1550,19265,64,64,False,31.50973778630939,32.43519706679735,31.50973778630939,13.10257007272048
136,3655000070,2014-08-05,220000.0,4,1.75,2020,7840,0.0,0.0,1010,1010.0,1968,1968,98003,47.3309,-122.29899999999999,1750,8140,52,52,True,30.91382578135186,31.92316378767806,30.91382578135186,12.519397998972442
